iter	Passed	Remaining
423	2138	2905
424	2142	2898
425	2152	2900
426	2156	2893
427	2161	2888
428	2166	2883
429	2171	2878
430	2175	2871
431	2184	2872
432	2188	2865
433	2192	2859
434	2197	2853
435	2203	2849
436	2209	2846
437	2212	2838
438	2217	2833
439	2220	2825
440	2223	2818
441	2225	2809
442	2227	2800
443	2229	2792
444	2233	2785
445	2240	2782
446	2243	2775
447	2247	2769
448	2251	2763
449	2257	2759
450	2263	2755
451	2268	2750
452	2273	2744
453	2275	2736
454	2276	2727
455	2278	2718
456	2286	2716
457	2290	2710
458	2292	2702
459	2295	2695
460	2302	2692
461	2307	2687
462	2312	2681
463	2316	2675
464	2320	2670
465	2323	2662
466	2325	2654
467	2327	2645
468	2333	2641
469	2338	2636
470	2342	2630
471	2346	2624
472	2350	2618
473	2355	2613
474	2359	2607
475	2364	2603
476	2368	2596
477	2374	2592
478	2378	2586
479	2381	2579
480	2388	2577
481	2394	2573
482	2400	2569
483	2405	2564
484	2410	2559
485	2415	2554
486	2419	2548
487	2423	2543
488	2427	2536
489	2433	2533
490	2440	2529
491	2443	2522
492	2452	2522
493	2457	2517
494	2462	2512
495	2467	2507
496	2470	2500
497	2473	2493
498	2477	2487
499	2481	2481
500	2492	2482
501	2500	2480
502	2504	2474
503	2507	2467
504	2511	2461
505	2517	2457
506	2520	2450
507	2523	2444
508	2529	2440
509	2532	2433
510	2536	2427
511	2540	2421
512	2544	2415
513	2548	2409
514	2553	2404
515	2555	2396
516	2560	2392
517	2564	2386
518	2567	2379
519	2569	2371
520	2571	2364
521	2602	2383
522	2613	2383
523	2626	2385
524	2630	2379
525	2636	2375
526	2644	2373
527	2650	2369
528	2661	2369
529	2666	2364
530	2669	2358
531	2674	2353
532	2678	2346
533	2681	2339
534	2684	2333
535	2691	2329
536	2702	2330
537	2706	2324
538	2711	2318
539	2715	2313
540	2718	2306
541	2720	2298
542	2726	2294
543	2728	2287
544	2736	2284
545	2746	2283
546	2749	2277
547	2761	2277
548	2764	2270
549	2766	2263
550	2768	2255
551	2771	2248
552	2773	2241
553	2776	2235
554	2778	2228
555	2780	2220
556	2782	2213
557	2784	2205
558	2786	2198
559	2792	2194
560	2797	2188
561	2805	2186
562	2807	2179
563	2810	2172
564	2813	2166
565	2817	2160
566	2821	2154
567	2825	2149
568	2830	2144
569	2834	2138
570	2842	2135
571	2844	2128
572	2848	2122
573	2851	2116
574	2856	2111
575	2859	2104
576	2863	2098
577	2867	2093
578	2875	2090
579	2878	2084
580	2890	2084
581	2895	2079
582	2896	2072
583	2898	2065
584	2902	2058
585	2906	2053
586	2910	2047
587	2914	2041
588	2918	2036
589	2925	2032
590	2929	2027
591	2933	2021
592	2938	2016
593	2943	2011
594	2946	2005
595	2948	1998
596	2951	1992
597	2956	1987
598	2962	1983
599	2966	1977
600	2974	1974
601	2978	1969
602	2983	1964
603	2991	1961
604	2997	1957
605	3002	1952
606	3007	1946
607	3011	1941
608	3021	1940
609	3025	1934
610	3038	1934
611	3042	1929
612	3044	1922
613	3046	1915
614	3048	1908
615	3056	1905
616	3063	1901
617	3067	1896
618	3072	1890
619	3078	1886
620	3080	1879
621	3082	1873
622	3085	1867
623	3087	1860
624	3089	1853
625	3092	1847
626	3097	1842
627	3105	1839
628	3107	1833
629	3109	1826
630	3112	1820
631	3118	1815
632	3121	1809
633	3127	1805
634	3134	1801
635	3139	1796
636	3143	1791
637	3147	1785
638	3155	1782
639	3159	1777
640	3165	1772
641	3168	1766
642	3174	1762
643	3176	1756
644	3178	1749
645	3181	1743
646	3183	1736
647	3188	1731
648	3192	1726
649	3194	1720
650	3198	1714
651	3202	1709
652	3208	1705
653	3212	1699
654	3218	1695
655	3225	1691
656	3227	1685
657	3230	1679
658	3235	1674
659	3240	1669
660	3243	1663
661	3248	1658
662	3252	1653
663	3255	1647
664	3260	1642
665	3263	1636
666	3267	1631
667	3272	1626
668	3278	1621
669	3282	1616
670	3286	1611
671	3297	1609
672	3301	1604
673	3304	1598
674	3306	1591
675	3308	1585
676	3312	1580
677	3315	1574
678	3318	1568
679	3321	1563
680	3325	1557
681	3330	1552
682	3334	1547
683	3339	1543
684	3346	1538
685	3352	1534
686	3357	1529
687	3362	1525
688	3366	1519
689	3368	1513
690	3374	1508
691	3377	1503
692	3379	1497
693	3381	1491
694	3386	1486
695	3395	1483
696	3399	1477
697	3403	1472
698	3408	1467
699	3412	1462
700	3415	1456
701	3417	1450
702	3419	1444
703	3421	1438
704	3427	1434
705	3431	1429
706	3435	1423
707	3440	1418
708	3444	1413
709	3449	1408
710	3453	1403
711	3455	1397
712	3458	1392
713	3462	1387
714	3471	1383
715	3477	1379
716	3482	1374
717	3486	1369
718	3488	1363
719	3490	1357
720	3493	1351
721	3495	1346
722	3499	1340
723	3502	1335
724	3506	1330
725	3512	1325
726	3519	1321
727	3521	1315
728	3526	1310
729	3529	1305
730	3534	1300
731	3538	1295
732	3541	1290
733	3547	1285
734	3549	1279
735	3551	1273
736	3554	1268
737	3558	1263
738	3565	1259
739	3573	1255
740	3575	1249
741	3579	1244
742	3583	1239
743	3588	1234
744	3592	1229
745	3595	1224
746	3600	1219
747	3603	1214
748	3609	1209
749	3612	1204
750	3615	1198
751	3620	1194
752	3624	1188
753	3631	1184
754	3634	1179
755	3641	1175
756	3646	1170
757	3650	1165
758	3656	1160
759	3659	1155
760	3665	1151
761	3671	1146
762	3676	1142
763	3681	1137
764	3687	1132
765	3691	1127
766	3696	1123
767	3700	1117
768	3706	1113
769	3708	1107
770	3712	1102
771	3716	1097
772	3720	1092
773	3725	1087
774	3729	1082
775	3731	1077
776	3733	1071
777	3739	1066
778	3743	1062
779	3746	1056
780	3749	1051
781	3753	1046
782	3757	1041
783	3765	1037
784	3768	1032
785	3771	1026
786	3775	1021
787	3784	1018
788	3789	1013
789	3797	1009
790	3801	1004
791	3806	999
792	3810	994
793	3814	989
794	3819	984
795	3824	980
796	3827	974
797	3836	971
798	3840	966
799	3845	961
800	3847	955
801	3849	950
802	3852	945
803	3854	939
804	3856	934
805	3862	929
806	3867	924
807	3872	920
808	3875	915
809	3880	910
810	3886	905
811	3893	901
812	3899	896
813	3903	892
814	3906	886
815	3910	881
816	3917	877
817	3926	873
818	3931	868
819	3937	864
820	3941	859
821	3944	854
822	3948	849
823	3954	844
824	3958	839
825	3960	834
826	3962	828
827	3967	824
828	3972	819
829	3975	814
830	3979	809
831	3984	804
832	3989	799
833	3995	795
834	4001	790
835	4007	786
836	4010	781
837	4016	776
838	4022	771
839	4026	766
840	4028	761
841	4031	756
842	4033	751
843	4035	745
844	4039	741
845	4045	736
846	4050	731
847	4053	726
848	4059	722
849	4064	717
850	4071	712
851	4076	708
852	4080	703
853	4085	698
854	4088	693
855	4094	688
856	4101	684
857	4104	679
858	4108	674
859	4116	670
860	4120	665
861	4122	660
862	4124	654
863	4130	650
864	4134	645
865	4139	640
866	4144	635
867	4150	631
868	4153	626
869	4161	621
870	4164	616
871	4167	611
872	4172	606
873	4175	602
874	4182	597
875	4186	592
876	4191	587
877	4198	583
878	4203	578
879	4207	573
880	4211	568
881	4215	564
882	4219	559
883	4221	553
884	4223	548
885	4226	543
886	4231	539
887	4236	534
888	4239	529
889	4244	524
890	4247	519
891	4251	514
892	4255	509
893	4262	505
894	4270	500
895	4275	496
896	4280	491
897	4283	486
898	4287	481
899	4290	476
900	4295	471
901	4300	467
902	4307	462
903	4314	458
904	4318	453
905	4325	448
906	4329	443
907	4332	438
908	4334	433
909	4335	428
910	4337	423
911	4340	418
912	4342	413
913	4344	408
914	4349	404
915	4352	399
916	4355	394
917	4361	389
918	4371	385
919	4380	380
920	4387	376
921	4392	371
922	4409	367
923	4413	362
924	4417	358
925	4423	353
926	4430	348
927	4437	344
928	4441	339
929	4447	334
930	4449	329
931	4451	324
932	4454	319
933	4459	315
934	4465	310
935	4469	305
936	4474	300
937	4478	295
938	4482	291
939	4489	286
940	4500	282
941	4502	277
942	4508	272
943	4511	267
944	4516	262
945	4521	258
946	4526	253
947	4534	248
948	4551	244
949	4556	239
950	4560	234
951	4567	230
952	4573	225
953	4578	220
954	4585	216
955	4589	211
956	4593	206
957	4599	201
958	4604	196
959	4610	192
960	4615	187
961	4617	182
962	4623	177
963	4627	172
964	4632	168
965	4637	163
966	4641	158
967	4646	153
968	4649	148
969	4654	143
970	4659	139
971	4666	134
972	4672	129
973	4677	124
974	4681	120
975	4685	115
976	4690	110
977	4695	105
978	4700	100
979	4703	95
980	4705	91
981	4707	86
982	4711	81
983	4715	76
984	4721	71
985	4725	67
986	4735	62
987	4739	57
988	4743	52
989	4747	47
990	4751	43
991	4756	38
992	4759	33
993	4767	28
994	4774	23
995	4777	19
996	4779	14
997	4784	9
998	4789	4
999	4793	0
