iter	Passed	Remaining
882	1656	219
883	1658	217
884	1659	215
885	1661	213
886	1662	211
887	1664	209
888	1667	208
889	1668	206
890	1672	204
891	1674	202
892	1676	200
893	1678	198
894	1679	197
895	1680	195
896	1682	193
897	1684	191
898	1685	189
899	1687	187
900	1688	185
901	1690	183
902	1691	181
903	1693	179
904	1695	177
905	1697	176
906	1698	174
907	1700	172
908	1701	170
909	1703	168
910	1704	166
911	1706	164
912	1707	162
913	1709	160
914	1711	158
915	1712	157
916	1714	155
917	1716	153
918	1717	151
919	1719	149
920	1722	147
921	1724	145
922	1726	143
923	1727	142
924	1729	140
925	1731	138
926	1733	136
927	1734	134
928	1736	132
929	1737	130
930	1739	128
931	1741	127
932	1742	125
933	1744	123
934	1745	121
935	1747	119
936	1748	117
937	1750	115
938	1752	113
939	1756	112
940	1760	110
941	1761	108
942	1763	106
943	1764	104
944	1766	102
945	1767	100
946	1769	99
947	1770	97
948	1772	95
949	1774	93
950	1775	91
951	1777	89
952	1778	87
953	1780	85
954	1782	83
955	1783	82
956	1785	80
957	1786	78
958	1788	76
959	1789	74
960	1791	72
961	1793	70
962	1794	68
963	1798	67
964	1801	65
965	1804	63
966	1805	61
967	1807	59
968	1808	57
969	1810	55
970	1811	54
971	1813	52
972	1815	50
973	1817	48
974	1818	46
975	1820	44
976	1821	42
977	1823	41
978	1825	39
979	1826	37
980	1827	35
981	1829	33
982	1831	31
983	1832	29
984	1835	27
985	1837	26
986	1839	24
987	1841	22
988	1842	20
989	1844	18
990	1845	16
991	1847	14
992	1848	13
993	1850	11
994	1852	9
995	1853	7
996	1855	5
997	1856	3
998	1858	1
999	1859	0
