matchPeriod,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls_received,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_penalty,Yellow_card,Red_card,PlayerType,gender
1H,28,27,1,0,0,0,0,0,0,4,3,1,14,4,6,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,35,30,5,0,0,0,1,0,1,2,1,1,6,2,3,4,0,0,0,0,5,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,10,10,0,0,0,0,0,0,0,3,0,3,3,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,Forward,1
2H,30,25,5,2,0,2,0,0,0,2,2,0,4,2,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Defender,1
2H,12,5,7,3,0,3,2,1,1,1,0,1,5,3,1,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,25,25,0,0,0,0,0,0,0,0,0,0,17,9,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,14,11,3,0,0,0,3,1,2,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Defender,1
2H,22,19,3,1,1,0,1,0,1,1,1,0,3,1,2,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,DefenderSubstitute,1
E1,9,8,1,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Defender,1
2H,16,12,4,1,1,0,2,2,0,0,0,0,7,6,0,5,1,1,0,1,1,0,0,2,0,2,0,0,1,0,MidfielderSubstitute,1
2H,16,16,0,0,0,0,0,0,0,3,3,0,3,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,Defender,1
E2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,5,2,3,1,0,1,0,0,0,2,0,2,6,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
1H,9,6,3,0,0,0,4,2,2,2,1,1,8,2,4,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,Defender,1
2H,9,8,1,0,0,0,0,0,0,0,0,0,6,2,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,MidfielderSubstitute,1
2H,29,22,7,4,1,3,2,1,1,0,0,0,7,4,3,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Defender,1
1H,47,41,6,0,0,0,6,4,2,3,2,1,11,4,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,0,Midfielder,1
2H,18,15,3,1,0,1,0,0,0,1,1,0,11,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,1
1H,16,12,4,1,0,1,0,0,0,3,0,3,9,3,5,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,8,3,5,0,0,0,0,0,0,5,2,3,11,1,6,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,Forward,1
2H,13,9,4,1,1,0,1,1,0,0,0,0,7,4,3,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,Defender,1
2H,18,16,2,0,0,0,0,0,0,2,0,2,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,15,11,4,3,0,3,0,0,0,1,0,1,10,5,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Forward,1
1H,24,20,4,1,1,0,2,1,1,0,0,0,8,3,5,7,1,4,3,1,1,0,0,5,4,1,0,0,0,0,Midfielder,1
