matchPeriod,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls_received,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_penalty,Yellow_card,Red_card,PlayerType,gender
1H,19,15,4,0,0,0,1,0,1,1,1,0,10,4,4,1,1,0,0,0,3,0,1,1,0,1,0,0,0,0,Midfielder,1
1H,11,8,3,4,3,1,1,0,1,1,1,0,3,0,2,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,Forward,1
E2,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Defender,1
1H,49,45,4,1,1,0,13,9,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Defender,1
2H,25,22,3,0,0,0,1,1,0,1,1,0,6,3,1,3,0,0,0,0,6,0,2,0,0,0,0,0,0,0,Defender,1
E2,5,4,1,1,0,1,1,1,0,4,3,1,4,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,Defender,1
1H,25,20,5,2,1,1,1,0,1,2,2,0,9,5,3,1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,Midfielder,1
1H,22,20,2,0,0,0,1,1,0,3,2,1,19,8,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,20,18,2,0,0,0,2,0,2,2,0,2,3,2,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,Defender,1
E2,10,7,3,0,0,0,0,0,0,2,2,0,3,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,MidfielderSubstitute,1
E2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,11,11,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Defender,1
E1,6,4,2,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,1
1H,13,11,2,0,0,0,0,0,0,1,1,0,8,2,4,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,Midfielder,1
2H,12,12,0,0,0,0,2,2,0,4,1,3,5,2,3,1,1,0,0,0,2,0,3,0,0,0,0,0,0,0,Defender,1
2H,26,25,1,1,0,1,0,0,0,3,2,1,7,2,3,1,1,0,0,0,1,0,3,0,0,0,0,0,1,0,Defender,1
1H,17,15,2,1,1,0,2,1,1,0,0,0,12,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,1
2H,35,31,4,0,0,0,2,1,1,4,3,1,9,3,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,Defender,1
1H,41,37,4,2,1,1,3,1,2,3,1,2,7,2,3,4,1,0,0,0,1,0,2,0,0,0,0,0,0,0,Defender,1
2H,10,8,2,1,1,0,3,1,2,1,1,0,4,1,2,1,1,0,0,0,5,0,0,0,0,0,0,0,1,0,Defender,1
2H,4,2,2,0,0,0,0,0,0,0,0,0,5,2,3,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,ForwardSubstitute,1
2H,26,22,4,0,0,0,1,1,0,0,0,0,9,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,53,51,2,0,0,0,0,0,0,2,0,2,7,2,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Defender,1
2H,37,34,3,0,0,0,11,9,2,4,4,0,4,2,2,0,1,0,0,0,3,0,1,2,1,1,1,0,0,0,Defender,1
1H,19,15,4,2,0,2,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,Midfielder,1
2H,8,7,1,1,1,0,0,0,0,3,1,2,13,2,9,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,12,10,2,0,0,0,3,2,1,1,1,0,0,0,0,8,0,0,0,0,2,2,0,0,0,0,0,0,0,0,Goalkeeper,1
1H,21,11,10,4,1,3,2,2,0,1,0,1,9,3,2,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,Defender,1
2H,6,4,2,0,0,0,0,0,0,5,1,4,7,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,1
E1,4,2,2,1,0,1,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DefenderSubstitute,1
1H,12,11,1,1,0,1,0,0,0,0,0,0,10,6,3,2,1,1,1,0,2,0,1,0,0,0,0,0,0,0,Midfielder,1
1H,29,23,6,1,0,1,0,0,0,3,2,1,16,8,6,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,Midfielder,1
E1,10,6,4,2,0,2,1,0,1,1,1,0,3,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Defender,1
2H,13,10,3,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,28,23,5,2,0,2,0,0,0,1,0,1,7,2,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Defender,1
2H,44,40,4,0,0,0,1,0,1,3,2,1,5,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,20,18,2,3,1,2,1,1,0,2,1,1,11,5,2,6,0,0,0,0,5,0,1,0,0,0,0,0,0,0,Defender,1
1H,18,12,6,1,0,1,1,1,0,2,0,2,9,3,2,3,0,0,0,0,7,0,4,0,0,0,0,0,0,0,Defender,1
1H,10,3,7,4,1,3,0,0,0,1,1,0,3,1,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
E1,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,1
1H,19,12,7,2,0,2,1,0,1,1,1,0,5,1,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Defender,1
2H,21,19,2,0,0,0,2,1,1,3,3,0,10,3,2,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Defender,1
1H,19,14,5,3,1,2,2,1,1,3,2,1,7,4,1,12,0,3,3,0,0,0,0,1,0,1,0,0,0,0,Midfielder,1
1H,26,24,2,0,0,0,4,2,2,2,2,0,6,1,4,1,3,0,0,0,3,0,5,0,0,0,0,0,1,0,Defender,1
1H,15,12,3,0,0,0,2,1,1,7,1,6,8,0,4,0,0,0,0,0,5,0,2,1,1,0,0,0,0,0,Forward,1
1H,20,15,5,2,1,1,3,2,1,3,2,1,19,5,9,0,3,0,0,0,3,0,1,4,2,2,0,0,0,0,Midfielder,1
2H,10,9,1,1,0,1,0,0,0,0,0,0,9,4,5,0,1,0,0,0,4,0,1,1,0,1,0,0,0,0,Midfielder,1
2H,9,6,3,0,0,0,1,0,1,0,0,0,3,1,2,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,3,1,2,1,0,1,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
E1,3,2,1,0,0,0,0,0,0,1,1,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,17,15,2,0,0,0,5,5,0,0,0,0,3,3,0,3,0,0,0,0,4,0,0,1,0,1,0,0,0,0,Defender,1
1H,28,22,6,2,0,2,2,1,1,0,0,0,16,6,6,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Midfielder,1
1H,24,21,3,0,0,0,2,0,2,1,0,1,3,2,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,Midfielder,1
E2,4,3,1,2,1,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Midfielder,1
E1,7,4,3,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,1
2H,2,2,0,0,0,0,0,0,0,3,1,2,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
2H,20,18,2,0,0,0,2,1,1,1,0,1,3,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,33,31,2,1,0,1,0,0,0,1,1,0,11,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Midfielder,1
2H,7,5,2,1,0,1,0,0,0,3,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
2H,4,3,1,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,17,15,2,1,0,1,0,0,0,0,0,0,21,5,11,0,3,0,0,0,2,0,0,1,0,1,0,0,1,0,MidfielderSubstitute,1
2H,19,16,3,2,1,1,0,0,0,1,1,0,2,2,0,4,0,3,0,3,0,0,0,2,1,1,0,0,0,0,Forward,1
1H,20,16,4,1,0,1,1,0,1,0,0,0,10,6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,MidfielderSubstitute,1
2H,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Goalkeeper,1
1H,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,4,3,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,ForwardSubstitute,1
2H,10,8,2,1,0,1,1,1,0,2,1,1,9,3,4,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,ForwardSubstitute,1
2H,37,34,3,0,0,0,1,1,0,4,1,3,4,1,1,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,Midfielder,1
1H,12,11,1,2,1,1,0,0,0,3,2,1,13,5,5,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Forward,1
1H,11,9,2,1,0,1,1,0,1,3,0,3,4,1,1,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,Defender,1
2H,16,13,3,3,1,2,0,0,0,1,0,1,10,6,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,Forward,1
2H,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,31,26,5,1,0,1,4,3,1,0,0,0,16,15,0,3,0,0,0,0,2,0,0,2,1,1,0,0,0,0,Forward,1
1H,22,20,2,0,0,0,3,2,1,2,2,0,8,2,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,1,1,0,0,0,0,0,0,0,2,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
1H,9,6,3,0,0,0,1,0,1,0,0,0,11,1,7,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,Midfielder,1
1H,15,15,0,0,0,0,0,0,0,0,0,0,4,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
2H,17,13,4,2,1,1,3,3,0,2,1,1,6,3,2,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,6,6,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,5,2,3,1,0,1,0,0,0,0,0,0,14,8,5,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,Forward,1
1H,17,15,2,1,1,0,1,0,1,1,1,0,9,3,4,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,Defender,1
2H,14,13,1,0,0,0,1,0,1,2,0,2,8,0,5,6,0,0,0,0,4,0,3,0,0,0,0,0,0,0,Defender,1
1H,37,34,3,0,0,0,2,2,0,5,3,2,6,3,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Defender,1
2H,38,34,4,2,0,2,0,0,0,3,3,0,5,3,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
2H,44,33,11,7,1,6,4,4,0,4,1,3,11,7,1,8,1,0,0,0,1,0,1,1,0,1,0,0,0,0,Defender,1
1H,31,29,2,0,0,0,4,4,0,3,2,1,4,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Defender,1
1H,26,21,5,0,0,0,1,0,1,1,0,1,7,3,2,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,Midfielder,1
1H,20,16,4,3,0,3,1,0,1,1,0,1,5,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,5,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,17,12,5,0,0,0,3,2,1,3,2,1,12,2,7,5,2,0,0,0,4,0,1,0,0,0,0,0,0,0,Defender,1
2H,9,6,3,0,0,0,1,0,1,1,0,1,9,1,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,39,37,2,0,0,0,0,0,0,5,4,1,4,0,2,0,2,0,0,0,4,0,3,0,0,0,0,0,1,0,Defender,1
1H,18,12,6,2,1,1,0,0,0,2,0,2,8,4,2,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,Midfielder,1
1H,13,11,2,0,0,0,2,2,0,0,0,0,8,2,5,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,Defender,1
2H,5,4,1,0,0,0,0,0,0,1,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
E1,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MidfielderSubstitute,1
1H,23,17,6,3,1,2,4,2,2,3,1,2,7,2,3,10,1,0,0,0,2,0,1,1,1,0,0,0,0,0,Defender,1
2H,10,8,2,0,0,0,1,0,1,0,0,0,6,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,12,11,1,0,0,0,1,1,0,1,1,0,0,0,0,5,0,0,0,0,2,1,2,0,0,0,0,0,0,0,Goalkeeper,1
E2,6,4,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,9,9,0,0,0,0,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Defender,1
2H,1,0,1,0,0,0,0,0,0,3,1,2,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Forward,1
2H,16,13,3,1,0,1,1,1,0,1,1,0,4,4,0,3,0,2,1,1,1,0,0,1,1,0,0,0,0,0,Midfielder,1
1H,20,15,5,0,0,0,2,0,2,6,2,4,7,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,6,2,4,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,5,3,2,0,0,0,0,0,0,1,0,1,5,1,2,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,Defender,1
2H,7,6,1,0,0,0,0,0,0,0,0,0,3,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,MidfielderSubstitute,1
2H,9,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,1
1H,26,24,2,2,2,0,0,0,0,2,1,1,12,4,4,0,1,0,0,0,2,0,1,1,0,1,0,0,0,0,Midfielder,1
2H,12,11,1,1,1,0,0,0,0,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,1
2H,29,21,8,3,1,2,1,0,1,2,1,1,6,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Defender,1
1H,16,13,3,0,0,0,1,1,0,2,0,2,7,3,3,2,3,0,0,0,6,0,2,0,0,0,0,0,0,0,Defender,1
1H,13,12,1,0,0,0,6,6,0,1,0,1,5,3,1,0,1,0,0,0,4,0,0,1,1,0,1,0,0,0,Defender,1
1H,16,12,4,0,0,0,3,1,2,3,0,3,6,1,2,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Midfielder,1
E2,6,5,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Defender,1
1H,13,11,2,0,0,0,3,2,1,0,0,0,1,0,1,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,Goalkeeper,1
1H,13,11,2,0,0,0,1,1,0,1,1,0,5,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,5,5,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MidfielderSubstitute,1
E1,10,6,4,2,1,1,0,0,0,0,0,0,4,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,7,7,0,0,0,0,1,1,0,2,1,1,9,5,3,0,3,0,0,0,3,0,7,0,0,0,0,0,1,0,Defender,1
1H,33,27,6,3,1,2,1,1,0,2,1,1,12,3,5,2,0,1,0,1,1,0,1,2,1,1,0,0,0,0,Midfielder,1
2H,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,20,14,6,5,1,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
2H,26,26,0,0,0,0,0,0,0,1,1,0,5,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,Defender,1
1H,22,19,3,0,0,0,3,1,2,0,0,0,5,2,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,1,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,1
2H,6,3,3,0,0,0,1,1,0,3,1,2,4,1,2,0,1,0,0,0,5,0,4,0,0,0,0,0,0,0,Defender,1
2H,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,4,1,0,0,0,0,0,0,0,Goalkeeper,1
1H,11,10,1,2,2,0,2,2,0,0,0,0,15,2,3,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,Midfielder,1
2H,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,12,8,4,1,1,0,0,0,0,2,0,2,6,3,1,4,0,2,1,1,4,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,10,6,4,0,0,0,1,1,0,0,0,0,6,1,4,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Defender,1
1H,31,29,2,0,0,0,1,1,0,0,0,0,21,10,5,1,0,0,0,0,1,0,0,3,1,2,0,0,0,0,Midfielder,1
2H,5,3,2,0,0,0,3,1,2,1,1,0,3,1,2,1,1,0,0,0,2,0,3,0,0,0,0,0,0,0,Defender,1
1H,30,25,5,3,0,3,2,0,2,1,1,0,4,2,2,5,1,0,0,0,2,0,1,0,0,0,0,0,0,0,Defender,1
2H,38,35,3,1,0,1,3,2,1,0,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
2H,12,10,2,0,0,0,3,1,2,0,0,0,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Defender,1
E2,1,1,0,0,0,0,0,0,0,2,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Defender,1
2H,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Goalkeeper,1
E1,3,3,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MidfielderSubstitute,1
2H,23,20,3,1,0,1,3,2,1,3,1,2,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
2H,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MidfielderSubstitute,1
1H,21,19,2,0,0,0,0,0,0,1,1,0,14,8,3,8,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Defender,1
2H,10,8,2,0,0,0,0,0,0,2,2,0,8,1,4,0,2,0,0,0,0,0,0,3,1,2,0,0,1,0,Forward,1
1H,7,3,4,2,1,1,0,0,0,7,5,2,13,3,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Forward,1
2H,18,10,8,1,1,0,4,1,3,1,1,0,9,3,5,6,0,0,0,0,3,0,2,0,0,0,0,0,0,0,Defender,1
1H,25,22,3,1,1,0,1,0,1,0,0,0,11,7,2,4,0,1,1,0,4,0,2,3,2,1,1,0,0,0,Midfielder,1
2H,16,14,2,0,0,0,0,0,0,2,0,2,16,9,3,1,0,0,0,0,6,0,3,0,0,0,0,0,0,0,Midfielder,1
2H,5,4,1,0,0,0,0,0,0,6,5,1,5,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,ForwardSubstitute,1
1H,8,5,3,3,1,2,1,0,1,0,0,0,3,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,31,25,6,0,0,0,4,2,2,0,0,0,4,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,42,38,4,1,1,0,3,2,1,1,0,1,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,36,30,6,2,1,1,5,4,1,3,2,1,12,7,3,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,Defender,1
1H,20,17,3,1,0,1,1,0,1,0,0,0,8,1,3,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,Midfielder,1
2H,18,17,1,3,2,1,0,0,0,2,0,2,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
1H,14,13,1,0,0,0,0,0,0,6,3,3,10,5,4,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,Forward,1
2H,3,2,1,1,0,1,0,0,0,2,1,1,7,2,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,MidfielderSubstitute,1
2H,2,2,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
E2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,Defender,1
E1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Midfielder,1
2H,49,46,3,0,0,0,2,1,1,0,0,0,13,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,10,7,3,1,0,1,0,0,0,0,0,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,6,6,0,0,0,0,0,0,0,2,2,0,3,1,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Forward,1
1H,26,23,3,0,0,0,4,3,1,3,2,1,4,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,Defender,1
2H,6,6,0,0,0,0,0,0,0,2,2,0,10,4,5,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,Defender,1
1H,23,19,4,0,0,0,4,2,2,5,4,1,2,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
E2,8,6,2,0,0,0,0,0,0,2,0,2,3,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,MidfielderSubstitute,1
2H,42,38,4,1,0,1,2,1,1,1,0,1,6,3,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,MidfielderSubstitute,1
2H,11,9,2,0,0,0,0,0,0,2,0,2,4,1,2,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,Defender,1
1H,17,12,5,1,0,1,3,1,2,5,3,2,8,2,1,10,0,0,0,0,5,0,2,0,0,0,0,0,0,0,Defender,1
1H,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MidfielderSubstitute,1
E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,5,5,0,0,0,0,0,0,0,2,0,2,8,1,7,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,Forward,1
1H,9,5,4,0,0,0,2,1,1,2,1,1,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Defender,1
1H,23,19,4,0,0,0,1,1,0,1,0,1,5,2,1,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,Midfielder,1
2H,30,27,3,0,0,0,2,2,0,3,3,0,3,0,1,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,Defender,1
2H,19,18,1,0,0,0,1,1,0,3,0,3,9,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Midfielder,1
E2,7,3,4,2,0,2,0,0,0,0,0,0,3,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
1H,25,22,3,0,0,0,3,2,1,5,4,1,7,4,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,Defender,1
2H,14,14,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MidfielderSubstitute,1
E2,4,2,2,0,0,0,0,0,0,1,0,1,5,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,1
2H,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,ForwardSubstitute,1
E1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,40,38,2,2,1,1,2,2,0,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
2H,28,24,4,1,0,1,0,0,0,0,0,0,4,2,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,Midfielder,1
1H,15,11,4,0,0,0,1,1,0,0,0,0,5,1,1,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,21,16,5,4,1,3,1,0,1,2,2,0,12,8,2,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Defender,1
1H,11,7,4,0,0,0,2,1,1,0,0,0,7,4,3,4,0,2,1,1,1,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,27,25,2,1,0,1,3,3,0,2,0,2,5,1,2,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,Defender,1
2H,20,18,2,1,1,0,2,1,1,1,0,1,8,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Midfielder,1
1H,19,13,6,2,0,2,0,0,0,0,0,0,13,5,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
