matchId,matchPeriod,teamId,playerId,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_set_play,Goals_from_penalty,Own_goals,Yellow_card,Red_card,Total_touches,PlayerType,PlayerName,MatchLabel
1694434,E1,13869,21097,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,Defender,KamilGlik,"Poland - Portugal, 1 - 1 (P)"
1694431,2H,5629,134769,8,8,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,10,ForwardSubstitute,YannickFerreira Carrasco,"Hungary - Belgium, 0 - 4"
1694390,2H,11944,83753,6,6,0,0,0,0,0,0,0,0,0,0,10,3,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,7,Midfielder,Nicolae ClaudiuStanciu,"France - Romania, 2 - 1"
1694415,2H,3757,21350,18,15,3,2,0,0,1,1,0,1,0,1,8,1,5,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,Midfielder,MarcoParolo,"Belgium - Italy, 0 - 2"
1694417,1H,8274,62071,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,11,Goalkeeper,DarrenRandolph,"Belgium - Republic of Ireland, 3 - 0"
1694414,1H,7047,51398,22,19,3,0,0,0,3,1,2,2,1,1,4,2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,Midfielder,OscarLewicki,"Republic of Ireland - Sweden, 1 - 1"
1694401,2H,10682,8425,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Goalkeeper,Wayne Hennessey,"Russia - Wales, 0 - 3"
1694400,2H,14496,15142,11,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Forward,R\u00f3bertMak,"Slovakia - England, 0 - 0"
1694428,2H,9905,211885,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midfielder,Andr\u00e9 FilipeTavares Gomes,"Croatia - Portugal, 0 - 1 (E)"
1694400,2H,14496,65090,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,DefenderSubstitute,Du\u0161an\u0160vento,"Slovakia - England, 0 - 0"
1694401,2H,14358,101699,13,12,1,0,0,0,0,0,0,0,0,0,4,2,1,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,13,MidfielderSubstitute,AlexandrSamedov,"Russia - Wales, 0 - 3"
1694421,1H,7839,58105,10,8,2,0,0,0,0,0,0,3,2,1,5,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,Forward,J\u00f3n Da\u00f0iB\u00f6\u00f0varsson,"Portugal - Iceland, 1 - 1"
1694403,2H,3148,14723,60,58,2,0,0,0,6,6,0,4,2,2,9,2,4,2,1,2,0,2,2,0,0,2,1,1,0,0,0,0,0,0,61,Midfielder,ToniKroos,"Germany - Ukraine, 2 - 0"
