matchId,playerId,PlayerName
1694438,8831,ChrisGunter
1694396,101616,J\u00e1n\u010eurica
1694404,8989,JamieWard
1694430,138408,Milan\u0160kriniar
1694391,92334,AnsiAgolli
1694392,14922,Ricardo Iv\u00e1nRodr\u00edguez Araya
1694412,14771,Vedran\u0106orluka
1694413,32572,BurakY\u0131lmaz
1694395,38598,DenisAlibec
1694428,69968,MarceloBrozovi\u0107
1694439,18669,JonasHector
1694401,101707,FyodorSmolov
1694428,69968,MarceloBrozovi\u0107
1694409,7882,Petr\u010cech
1694421,57226,Hannes \u00de\u00f3rHalld\u00f3rsson
1694395,83753,Nicolae ClaudiuStanciu
1694396,7870,AaronRamsey
1694432,3341,GerardPiqu\u00e9 Bernab\u00e9u
1694423,14724,DavidOlatukunbo Alaba
1694417,8522,John O'Shea
1694394,25714,Dimitri Payet
1694434,14798,\u0141ukaszPiszczek
1694402,7849,Wojciech Szcz\u0119sny
1694413,15076,Olcay\u015eahan
1694405,14716,J\u00e9r\u00f4meBoateng
1694413,32656,Sel\u00e7uk\u0130nan
1694438,70403,Adrien SebastianPerruchet Silva
1694426,49855,YannSommer
1694432,21350,MarcoParolo
1694402,7849,Wojciech Szcz\u0119sny
1694434,70093,Jo\u00e3o FilipeIria Santos Moutinho
1694408,32523,CanerErkin
1694426,99381,ArturJ\u0119drzejczyk
1694400,32959,PeterPekar\u00edk
1694433,7887,Gary Cahill
1694390,38598,DenisAlibec
1694409,82684,DavidLafata
1694420,15200,\u00c1d\u00e1mSzalai
1694422,51127,Ari FreyrSk\u00falason
1694403,18669,JonasHector
1694434,99381,ArturJ\u0119drzejczyk
1694406,105518,ArtemFedetskiy
1694403,3319,Mesut\u00d6zil
1694426,7850,Johan DanonDjourou-Gbadjere
1694416,20455,GianluigiBuffon
1694430,78488,Mat\u00fa\u0161Koz\u00e1\u010dik
1694421,70134,Rui Pedrodos Santos Patr\u00edcio
1694423,65027,StefanIlsanker
1694404,62331,MichaelMcGovern
1694416,21275,AndreasGranqvist
1694418,8240,S\u00e9amusColeman
1694419,25707,EdenHazard
1694426,99438,Micha\u0142Pazdan
1694412,3346,SergioBusquets i Burgos
1694420,76201,\u00c1d\u00e1mLang
1694422,51127,Ari FreyrSk\u00falason
1694400,7873,JackWilshere
1694403,14855,BenediktH\u00f6wedes
1694414,8346,WesleyHoolahan
1694414,8980,JeffHendrick
1694436,20455,GianluigiBuffon
1694431,122,DriesMertens
1694423,37762,WilliamSilva de Carvalho
1694437,26010,OlivierGiroud
1694433,51127,Ari FreyrSk\u00falason
1694430,3319,Mesut\u00d6zil
1694436,224593,JoshuaKimmich
1694407,80019,StuartDallas
1694424,15200,\u00c1d\u00e1mSzalai
1694436,14732,ThomasM\u00fcller
1694397,101568,RomanShirokov
1694426,14804,JakubB\u0142aszczykowski
1694412,3350,FrancescF\u00e0bregas i Soler
1694414,8744,Glenn Whelan
1694426,21169,BlerimD\u017eemaili
1694435,25707,EdenHazard
1694414,9623,RobbieBrady
1694393,50264,BurimKukeli
1694421,70093,Jo\u00e3o FilipeIria Santos Moutinho
1694432,20455,GianluigiBuffon
1694440,25437,BlaiseMatuidi
1694413,281255,EmreMor
1694393,7858,BacarySagna
1694407,14795,Mats Hummels
1694397,8277,KyleWalker
1694403,14716,J\u00e9r\u00f4meBoateng
1694408,105361,IvanStrini\u0107
1694390,26010,OlivierGiroud
1694410,15094,RomanHubn\u00edk
1694417,38021,KevinDe Bruyne
1694433,210044,Eric Dier
1694420,15206,G\u00e1borKir\u00e1ly
1694416,20626,EderCitadin Martins
1694396,77548,JoeAllen
1694396,21285,JurajKucka
1694408,15245,GordonSchildenfeld
1694393,15449,M\u00ebrgimMavraj
1694413,3289,MehmetTopal
1694399,7887,Gary Cahill
1694419,51343,ErikJohansson
1694428,7926,Lu\u00eds CarlosAlmeida da Cunha
1694428,69396,DomagojVida
1694421,77558,Gylfi \u00de\u00f3rSigur\u00f0sson
1694433,12829,JamieVardy
1694412,69411,AndrejKramari\u0107
1694410,101607,Tom\u00e1\u0161 Necid
1694434,99452,ArkadiuszMilik
1694436,20628,GrazianoPell\u00e8
1694436,14723,ToniKroos
1694396,8278,Gareth FrankBale
1694422,75209,Rich\u00e1rdGuzmics
1694405,99381,ArturJ\u0119drzejczyk
1694413,101607,Tom\u00e1\u0161 Necid
1694434,25537,GrzegorzKrychowiak
1694410,8287,LukaModri\u0107
1694423,14940,Adelino Andr\u00e9 Vieira Freitas
1694434,258162,Renato J\u00faniorLuz Sanches
1694403,105622,AndriyYarmolenko
1694418,246061,FedericoBernardeschi
1694418,8980,JeffHendrick
1694394,20938,ValonBehrami
1694409,82510,DavidLimbersk\u00fd
1694439,245364,LeroySan\u00e9
1694392,84367,Steliano Filip
1694421,14940,Adelino Andr\u00e9 Vieira Freitas
1694417,8530,JamesMcClean
1694400,7944,WayneRooney
1694409,3350,FrancescF\u00e0bregas i Soler
1694412,3353,Andr\u00e9sIniesta Luj\u00e1n
1694390,6165,FlorinAndone
1694429,8384,Shane Long
1694424,101690,Bal\u00e1zsDzsudzs\u00e1k
1694436,20395,MattiaDe Sciglio
1694435,38021,KevinDe Bruyne
1694398,15022,Roman PetrovichNeust\u00e4dter
1694430,7960,Martin\u0160krtel
1694414,61949,MikaelLustig
1694427,9615,JamesChester
1694433,397178,MarcusRashford
1694416,20626,EderCitadin Martins
1694404,62331,MichaelMcGovern
1694395,33235,Bogdan SorinStancu
1694399,210044,Eric Dier
1694417,70123,Axel Witsel
1694418,8980,JeffHendrick
1694425,14724,DavidOlatukunbo Alaba
1694438,3322,Cristiano Ronaldodos Santos Aveiro
1694436,20461,GiorgioChiellini
1694394,20465,StephanLichtsteiner
1694398,21285,JurajKucka
1694397,7922,ChrisSmalling
1694426,14922,Ricardo Iv\u00e1nRodr\u00edguez Araya
1694411,32656,Sel\u00e7uk\u0130nan
1694413,32580,\u0130smailK\u00f6yba\u015f\u0131
1694420,7980,Tam\u00e1sK\u00e1d\u00e1r
1694435,61963,JoeLedley
